CeA_mean	NAc_mean	M	D	prob	ranking	Length	GC	Chrom	GeneStart	GeneEnd	Biotype	mgi_symbol
ENSMUSG00000113140	1.46533291313511	24.5455009498141	-4.0661582340357	23.080168036679	0.994119359534207	-23.4356096439916	2810	0.360142348754448	13	17929101	17931910	TEC	Gm48624
ENSMUSG00000036781	1.26151516112428	23.8100171461535	-4.23833920941838	22.5485019850292	0.994111419875612	-22.9433751009515	816	0.463235294117647	9	66853368	66856798	protein_coding	Rps27l
ENSMUSG00000031104	0.888943325973588	22.6503582799678	-4.67129861669449	21.7614149539942	0.994098187111288	-22.2571384406499	1158	0.53454231433506	X	47608162	47619109	protein_coding	Rab33a
ENSMUSG00000113391	0.514698185738708	20.2936603905091	-5.30115860168575	19.7789622047703	0.993828238719068	-20.4770512627663	1101	0.35149863760218	13	8847338	8848438	TEC	Gm48327
ENSMUSG00000108825	1.68270759538605	23.8197474351385	-3.82330171013954	22.1370398397524	0.993788540426095	-22.4647761803571	2447	0.440130772374336	7	83282579	83285025	TEC	Gm45838
ENSMUSG00000050248	21.8682799491519	1.16500614989574	4.23043027379825	20.7032737992561	0.993770014556041	21.1310692182964	5837	0.548398149734453	5	37495843	37582399	protein_coding	Evc2
ENSMUSG00000102349	13.6343890261909	92.2125697156992	-2.75771336851196	78.5781806895083	0.993680031758634	-78.6265569861474	453	0.437086092715232	19	5851969	5852421	TEC	Gm37376
ENSMUSG00000021948	20.4245311801074	0.87612617204461	4.54302050410628	19.5484050080628	0.993566229985444	20.0693590744694	5544	0.537698412698413	14	30317311	30348167	protein_coding	Prkcd
ENSMUSG00000103482	0.569041664719411	19.3323124291157	-5.08633611597333	18.7632707643963	0.993470954082308	-19.4404512515194	1809	0.364842454394693	1	32512838	32514646	TEC	Gm37999
ENSMUSG00000064452	54.9011398121288	336.768882515196	-2.61685083267211	281.867742703067	0.993470954082308	-281.879889819765	75	0.44	12	109597508	109597582	snoRNA	Gm24564
ENSMUSG00000021032	22.1054357194802	1.6914370857163	3.70807975037677	20.4139986337639	0.993380971284901	20.7480407666475	1723	0.584445734184562	12	87144305	87149313	protein_coding	Ngb
ENSMUSG00000029219	0.514698185738708	18.9123441035544	-5.19945768278547	18.3976459178157	0.993375678179172	-19.1182566023264	2106	0.54985754985755	5	73164226	73170298	protein_coding	Slc10a4
ENSMUSG00000108521	0.342105806406585	18.4023183366882	-5.74930112869576	18.0602125302816	0.993317454016144	-18.9532514389316	3009	0.453971419076105	7	78927515	78930523	TEC	Gm44639
ENSMUSG00000114285	46.0923748422723	6.21395756650147	2.89094380752659	39.8784172757708	0.993306867804684	39.9830679227942	469	0.526652452025586	19	36338743	36339211	processed_pseudogene	Gm47773
ENSMUSG00000102407	0.406394145865541	18.4088186257509	-5.50137361525217	18.0024244798854	0.993280402276035	-18.8242502854315	2533	0.388077378602448	1	25364947	25367479	TEC	Gm37862
ENSMUSG00000105958	0.906957155486709	19.2577936036731	-4.40826421086069	18.3508364481864	0.993182479820034	-18.8728903907388	2270	0.356828193832599	5	48956352	48958621	TEC	Gm43319
ENSMUSG00000064354	3.00993091075267	26.984686098974	-3.1643386279746	23.9747551882213	0.99304485907106	-24.1826782075029	684	0.385964912280702	MT	7013	7696	protein_coding	mt-Co2
ENSMUSG00000114153	2.163506455396	22.4588812425256	-3.37584273316832	20.2953747871297	0.992978695249438	-20.5742205662607	2379	0.394283312316099	12	89622493	89624871	TEC	Gm48692
ENSMUSG00000120970	2.2657293576172	22.8073062259854	-3.33144861380986	20.5415768683682	0.992923117639275	-20.8099718910318	1363	0.53925165077036	8	72043373	72044735	lncRNA	
ENSMUSG00000065036	176.687436895377	28.9984686436735	2.60715084152599	147.688968251704	0.992835781394733	147.711978453892	134	0.5	6	131357236	131357369	snoRNA	Gm22362
ENSMUSG00000056306	24.334097739435	2.71945203610189	3.16159139747025	21.6146457033331	0.992613470954082	21.8446462330058	3215	0.479937791601866	3	54804489	54823308	protein_coding	Sertm1
ENSMUSG00000105332	0.514698185738708	16.5033755910327	-5.00289063525649	15.988677405294	0.992491729522297	-16.753110752302	1295	0.368339768339768	5	49174855	49176149	TEC	Gm43316
ENSMUSG00000120310	1.39295855409664	17.746356487282	-3.67129861669449	16.3533979331853	0.992097393145428	-16.7604313039388	1478	0.486468200270636	15	84805922	84807399	lncRNA	
ENSMUSG00000103477	2.66682997792076	22.6503582799678	-3.08633611597333	19.983528302047	0.991946539632129	-20.2204568202471	1544	0.314766839378238	3	45227859	45229402	TEC	5930409G06Rik
ENSMUSG00000104661	2.48732295489883	21.7963981607177	-3.13142400550187	19.3090752058189	0.991938599973535	-19.5613445756216	2897	0.37866758715913	5	49241216	49244112	TEC	Gm42768
ENSMUSG00000112015	3.15040970612828	25.271044977157	-3.00387395578136	22.1206352710287	0.991808918883155	-22.3236592774594	1307	0.397857689364958	10	90648945	90650251	TEC	Gm47592
ENSMUSG00000119403	860.788345114735	150.742039587372	2.5135767262138	710.046305527363	0.991753341272992	710.050754566894	116	0.387931034482759	1	192427879	192427994	snRNA	Gm22265
ENSMUSG00000108008	0.732666456567555	15.2112963632651	-4.37584273316832	14.4786299066975	0.991536323938071	-15.1254330053899	1405	0.390747330960854	6	45278037	45279441	TEC	Gm43869
ENSMUSG00000109387	2.99741039947667	23.841711012571	-2.99169924183526	20.8443006130944	0.991523091173746	-21.0578995249442	2404	0.397254575707155	7	90807808	90810211	TEC	Gm45182
ENSMUSG00000040771	21.1429293243115	2.4940916548474	3.08358888546898	18.6488376694641	0.991488685986503	18.9020545665441	1558	0.475609756097561	17	48717042	48724294	protein_coding	Oard1
ENSMUSG00000102844	0.995066574651924	15.4943485188889	-3.96080523388947	14.499281944237	0.991361651448988	-15.0305407420785	2069	0.440792653455776	3	52189662	52191730	TEC	Gm38034
ENSMUSG00000104693	1.55851078194915	16.9139440499247	-3.43997307058803	15.3554332679755	0.991345772131798	-15.7360333494061	1321	0.445874337623013	3	101503126	101504446	lncRNA	Gm42941
ENSMUSG00000104017	1.84397021312569	17.8367204129358	-3.2739631191491	15.9927501998101	0.99131401349742	-16.3244262826929	2233	0.369905956112853	1	3445779	3448011	TEC	Gm37363
ENSMUSG00000104034	2.19175948504773	19.3048712475272	-3.13880353586747	17.1131117624794	0.99131401349742	-17.3985827535431	1409	0.364797728885735	2	14678215	14679623	TEC	2900092N22Rik
ENSMUSG00000018761	1.70148160574779	17.2612785459553	-3.34267586923312	15.5597969402075	0.9912928410745	-15.9147969759983	2420	0.465289256198347	11	69547523	69553468	protein_coding	Mpdu1
ENSMUSG00000120648	3.27833239324018	24.7502853391863	-2.91641111453102	21.4719529459462	0.991205504829959	-21.6691074366686	942	0.412951167728238	6	31076849	31103456	lncRNA	
ENSMUSG00000047843	15.6158430139171	1.17894259655712	3.72744507524371	14.43690041736	0.991160513431256	14.910329991309	1648	0.529126213592233	5	144181247	144383567	protein_coding	Bri3
ENSMUSG00000102136	1.21010545236373	15.6071303613188	-3.68900061842795	14.3970249089551	0.991094349609633	-14.862134832918	2552	0.431818181818182	2	4182921	4185472	lncRNA	Gm37107
ENSMUSG00000107749	1.44223659751652	15.9923253518263	-3.47099996620866	14.5500887543098	0.990954082307794	-14.9583730239526	2855	0.372329246935201	6	71253478	71256332	TEC	Gm44321
ENSMUSG00000043811	14.8725997943073	1.00252703773278	3.89094380752658	13.8700727565746	0.990911737461956	14.405497630627	1938	0.627450980392157	16	17945506	17970272	protein_coding	Rtn4r
ENSMUSG00000069755	1.65497808919199	16.3990536099874	-3.30872853730978	14.7440755207954	0.990766177054387	-15.1107725645159	2488	0.347266881028939	12	20948575	20952660	transcribed_unprocessed_pseudogene	Zfp125
ENSMUSG00000116185	0.514698185738708	13.7321100503664	-4.73768281692381	13.2174118646277	0.990750297737197	-14.040855204473	2476	0.402261712439418	15	77059989	77062464	TEC	Gm49411
ENSMUSG00000113183	1.53641249474241	15.9491577540205	-3.37584273316832	14.412745259278	0.990734418420008	-14.8028220305429	1340	0.388805970149254	13	20684058	20685397	lncRNA	Gm47664
ENSMUSG00000083621	121.105455467931	21.4290154315382	2.49862638474782	99.676440036393	0.990602090776763	99.7077521165692	408	0.522058823529412	X	51861219	51861626	processed_pseudogene	Gm14586
ENSMUSG00000117943	1.65942456444505	16.0081103993913	-3.27004806914572	14.3486858349463	0.990435357946275	-14.7165892639739	5583	0.379724162636575	18	40479222	40484804	TEC	Gm50403
ENSMUSG00000105442	0.514698185738708	13.1276851292306	-4.67274203356416	12.6129869434919	0.990276564774381	-13.4507233169423	1554	0.386743886743887	5	51640094	51641647	TEC	Gm42614
ENSMUSG00000085148	2.14011719641874	17.6718838278104	-3.04569413147599	15.5317666313917	0.990165409554056	-15.8275717478873	1924	0.454781704781705	11	75352365	75357502	lncRNA	Mir22hg
ENSMUSG00000064345	1730.53628923708	9318.60761228268	-2.42889520823346	7588.0713230456	0.99007542675665	-7588.07171178284	1038	0.357418111753372	MT	3914	4951	protein_coding	mt-Nd2
ENSMUSG00000110160	0.699318187144983	13.1990312440634	-4.23833920941838	12.4997130569184	0.990067487098055	-13.1987251565971	1472	0.533288043478261	8	12440168	12441639	TEC	Gm45560
ENSMUSG00000030342	0.514698185738708	12.8322479883575	-4.63990342041895	12.3175498026188	0.990030435357946	-13.1624745732256	2044	0.518590998043053	6	125437229	125471754	protein_coding	Cd9
ENSMUSG00000090125	2.40700632457696	18.6768521090327	-2.95593947871766	16.2698457844557	0.989972211194919	-16.5361863817451	3849	0.63912704598597	4	124550600	124554448	protein_coding	Pou3f1
ENSMUSG00000111951	1.61347393648498	15.2264686451891	-3.23833920941838	13.6129947087041	0.989868995633188	-13.9928719630554	1276	0.379310344827586	10	9421990	9423265	TEC	Gm48755
ENSMUSG00000055216	1.46013669713108	14.6980417900795	-3.33144861380986	13.2379050929484	0.989813418023025	-13.6506659587129	2115	0.394799054373522	4	3806635	3808751	pseudogene	9430025C20Rik
ENSMUSG00000028655	14.1827944514666	1.29526493275075	3.4528226951347	12.8875295187159	0.989800185258701	13.3420538771139	2250	0.532	4	122840643	122854981	protein_coding	Mfsd2a
ENSMUSG00000109481	2.73452400923752	20.0712541232038	-2.87576913003367	17.3367301139663	0.989757840412862	-17.5736239613166	3388	0.373671782762692	7	91465375	91468762	TEC	Gm45130
ENSMUSG00000004748	37.9064256470394	6.14840949090547	2.62415726683168	31.758016156134	0.989752547307132	31.8662484697263	1738	0.512082853855006	11	4041480	4045445	protein_coding	Mtfp1
ENSMUSG00000108465	1.46846843292071	14.5509434314011	-3.30872853730978	13.0824749984804	0.989699616249835	-13.4944001948761	1402	0.458630527817404	7	127054641	127056042	TEC	Gm45110
ENSMUSG00000019935	0.514698185738708	12.3489241469881	-4.58451485055242	11.8342259612494	0.989540823077941	-12.691204848904	4720	0.408474576271186	10	89409882	89457115	protein_coding	Slc17a8
ENSMUSG00000083563	0.666275968593796	12.5753876966092	-4.23833920941838	11.9091117280154	0.989527590313616	-12.6408251868479	1545	0.397411003236246	2	22478115	22479659	unprocessed_pseudogene	Gm13340
ENSMUSG00000107454	1.24775317754838	13.7376583776595	-3.46073163075483	12.4899052001111	0.989477305809184	-12.9604936375074	2475	0.36040404040404	6	46463577	46466051	TEC	Gm43875
ENSMUSG00000105469	2.95520489419354	20.4515515697487	-2.79088023244716	17.4963466755552	0.989104141855234	-17.7175381885598	1045	0.416267942583732	3	126760124	126761168	TEC	A930036I15Rik
ENSMUSG00000112153	4.15079182047345	26.7077171800696	-2.6857981863896	22.5569253595961	0.989080322879449	-22.7162583533557	2728	0.392961876832845	10	90564822	90572192	lncRNA	Gm47591
ENSMUSG00000103201	1.00087153279282	12.7511496782707	-3.67129861669449	11.7502781454778	0.988992986634908	-12.3104618121757	2057	0.374331550802139	1	3582674	3584730	TEC	Gm37329
ENSMUSG00000038668	0.240008480176595	11.5513834641446	-5.58883645650251	11.311374983968	0.988963874553394	-12.6167466870612	4289	0.479365819538354	4	58435255	58553898	protein_coding	Lpar1
ENSMUSG00000022193	3.43513805832285	22.6923500454108	-2.72376603658862	19.257211987088	0.988900357284637	-19.4488846707907	899	0.543937708565072	14	54851576	54855479	protein_coding	Psmb5
ENSMUSG00000024647	17.429309676017	2.34973769763008	2.89094380752659	15.079571978387	0.988900357284637	15.3541866326299	2894	0.499308914996545	18	86729235	86736408	protein_coding	Cbln2
ENSMUSG00000097042	2.22716653283733	16.8143435666476	-2.91641111453102	14.5871770338102	0.988858012438798	-14.8758592224006	2311	0.44223279965383	8	22970307	22973348	lncRNA	Gm17491
ENSMUSG00000028654	13.0012914673968	1.20288348138071	3.43408613255311	11.7984079860161	0.988762736535662	12.2880176826973	4038	0.564883605745419	4	122889445	122896278	protein_coding	Mycl
ENSMUSG00000109438	2.42382004115238	17.6127972371924	-2.86126956033856	15.18897719604	0.988699219266905	-15.4561279678561	4247	0.442665410878267	8	8692766	8697012	TEC	Gm45073
ENSMUSG00000103889	1.05219390610979	12.5775300113787	-3.57937612725345	11.5253361052689	0.988683339949715	-12.0683596979775	2935	0.355366269165247	1	25647331	25650265	TEC	Gm37011
ENSMUSG00000030551	13.963985560911	1.57684426595744	3.14659868299478	12.3871412949536	0.988614529575228	12.7805458699137	8625	0.505391304347826	7	70001692	70016483	protein_coding	Nr2f2
ENSMUSG00000113984	2.54486123974639	18.0120278040123	-2.82330171013954	15.4671665642659	0.988519253672092	-15.7227311264049	1618	0.391841779975278	13	9378666	9380283	TEC	Gm48890
ENSMUSG00000064367	1238.21032841088	6320.27506453667	-2.35173094872023	5082.06473612578	0.988423977768956	-5082.06528025877	1824	0.371162280701754	MT	11742	13565	protein_coding	mt-Nd5
ENSMUSG00000110020	15.5220837371509	1.99749561253543	2.95805800338512	13.5245881246154	0.988408098451767	13.8442981437081	1459	0.574366004112406	7	45480319	45484673	lncRNA	Gm45441
ENSMUSG00000109529	0.999413952890694	12.261003004194	-3.61685083267211	11.2615890513033	0.988373693264523	-11.8281443137221	2060	0.398058252427184	8	9653823	9655882	TEC	Gm44801
ENSMUSG00000109555	1.38919888188585	13.1099689549671	-3.23833920941838	11.7207700730813	0.988304882890036	-12.1599050959	2223	0.483580746738641	7	131913585	131915807	TEC	Gm44891
ENSMUSG00000113041	1.09277746441339	12.3751426695932	-3.50137361525218	11.2823652051798	0.988296943231441	-11.8131867765068	1884	0.373673036093418	13	75875398	75877281	lncRNA	Gm48302
ENSMUSG00000039725	11.1785252804441	0.485724349781532	4.52444825219574	10.6928009306625	0.988169908693926	11.6106254667686	2118	0.523607176581681	2	165332030	165335244	protein_coding	Trp53rka
ENSMUSG00000027168	11.091495023615	0.415362023072971	4.73894071408153	10.6761330005421	0.988164615588196	11.6806410327877	11694	0.496579442449119	2	105499245	105527709	protein_coding	Pax6
ENSMUSG00000031673	9.01762320027385	50.0780495394706	-2.47335923908258	41.0604263391968	0.988077279343655	-41.1348528267959	8904	0.426100628930818	8	103358727	103512274	protein_coding	Cdh11
ENSMUSG00000084817	7.30068348565543	41.3382425345985	-2.50137361525218	34.037559048943	0.988071986237925	-34.1293465506353	423	0.534278959810875	1	45896492	45896914	processed_pseudogene	Gm5526
ENSMUSG00000102562	0.965209912308875	11.8413812417439	-3.61685083267211	10.876171329435	0.987934365488951	-11.4617936089002	2133	0.392873886544773	16	77482165	77484297	TEC	Gm37694
ENSMUSG00000104469	2.68654990381231	18.1697668904792	-2.75771336851196	15.4832169866669	0.98783644303295	-15.7268875267511	2299	0.360591561548499	9	71896255	71898553	TEC	Gm37663
ENSMUSG00000086770	21.8503946775866	3.43672888996367	2.66855138619014	18.413665787623	0.98781527061003	18.6060273631695	848	0.570754716981132	8	12949146	12965758	lncRNA	Gm15351
ENSMUSG00000039043	4.06876036157081	24.7448504939208	-2.60446710821628	20.67609013235	0.98769088262538	-20.8394806096227	2277	0.489679402722881	7	79575109	79585107	protein_coding	Arpin
ENSMUSG00000001305	17.7975291147685	2.6993017277146	2.72101880608427	15.0982273870539	0.987378589387323	15.3414606075905	3239	0.481321395492436	1	186453175	186481555	protein_coding	Rrp15
ENSMUSG00000112008	3.12174790440459	19.8856064353319	-2.67129861669449	16.7638585309273	0.98733359798862	-16.9753582920802	1319	0.44275966641395	12	76987249	76988567	TEC	Gm47218
ENSMUSG00000081094	36.5775360423447	6.57494889721194	2.47590630824774	30.0025871451328	0.987211856556835	30.1045735304207	591	0.544839255499154	8	19542952	19543542	processed_pseudogene	Rpl19-ps11
ENSMUSG00000033970	10.2626057527519	0.26902484064333	5.25351388691129	9.99358091210852	0.987095408230779	11.2903085700449	3611	0.445859872611465	5	151566221	151574707	protein_coding	Rfc3
ENSMUSG00000105598	3.7478023233401	22.3999093345852	-2.57937612725345	18.6521070112451	0.986698425301045	-18.8296117104093	824	0.408980582524272	5	132563264	132564087	TEC	Gm43186
ENSMUSG00000113649	1.44645860160761	12.2852997134439	-3.08633611597333	10.8388411118363	0.986650787349477	-11.2696915338617	2135	0.439344262295082	13	20456075	20458209	TEC	Gm47665
ENSMUSG00000103624	0.340296321149559	9.95534204510908	-4.87060742491789	9.61504572395953	0.98646288209607	-10.7783078895297	3025	0.358677685950413	9	100759144	100762168	TEC	Gm3081
ENSMUSG00000057895	13.5319710804543	1.8243168066912	2.89094380752659	11.7076542737631	0.98645758899034	12.0593003400794	2130	0.485915492957746	9	122752137	122760093	protein_coding	Zfp105
ENSMUSG00000103049	3.05157027117811	18.7186261279444	-2.61685083267211	15.6670558567663	0.98645758899034	-15.884097314594	2024	0.339920948616601	16	77413199	77415222	TEC	Gm37311
ENSMUSG00000065520	73.5283122483868	360.823802694852	-2.29492273778475	287.295490446465	0.986433770014556	-287.304656247071	70	0.5	1	128130098	128130167	miRNA	Mir128-1
ENSMUSG00000110499	0.537543797116144	10.1456783244184	-4.23833920941838	9.60813452730228	0.986394071721583	-10.5014174447468	1915	0.407832898172324	8	94775409	94777323	TEC	Gm45873
ENSMUSG00000058400	11.7403783243318	1.32953745378157	3.14248257452255	10.4108408705503	0.986296149265582	10.8747783592631	2192	0.442974452554745	3	36233573	36276462	protein_coding	Qrfpr
ENSMUSG00000020902	0.819974806019926	10.5238986092542	-3.681945860894	9.70392380323423	0.986227338891094	-10.3789624963929	6277	0.534650310657958	11	68100190	68291649	protein_coding	Ntn1
ENSMUSG00000038695	2.34575701817869	15.4959534301742	-2.72376603658862	13.1501964119955	0.986153235410877	-13.4293174471428	2633	0.588302316748956	7	44117404	44121086	protein_coding	Josd2
ENSMUSG00000039632	1.22839662467472	11.2060510291682	-3.18942960893744	9.97765440449348	0.985809183538441	-10.4750202217406	2514	0.498011137629276	9	21901167	21913930	protein_coding	Odad3
ENSMUSG00000105510	4.15917725849461	23.5502715045591	-2.50137361525218	19.3910942460645	0.985745666269684	-19.5517622229516	990	0.392929292929293	5	72711583	72712572	TEC	Gm43815
ENSMUSG00000114431	0.339510676608646	9.61195942839443	-4.82330171013954	9.27244875178579	0.985727140399629	-10.4519158646407	3032	0.406002638522427	14	10599148	10602179	TEC	Gm48601
ENSMUSG00000107120	2.22492011126242	14.6977108723518	-2.72376603658862	12.4727907610894	0.985629217943628	-12.7667306226767	1388	0.380403458213256	5	31618366	31619753	TEC	Gm43059
ENSMUSG00000050505	39.1740425416569	7.42914154800595	2.3986305947711	31.744900993651	0.985541881699087	31.8353917492289	5492	0.444100509832484	14	88702179	88708832	protein_coding	Pcdh20
ENSMUSG00000027597	1.1009586860721	10.736153185902	-3.28564492419674	9.63519449982985	0.985533942040492	-10.1800017493835	2805	0.501604278074866	2	154901230	154916417	protein_coding	Ahcy
ENSMUSG00000064325	0.226839218042621	9.41907068769828	-5.37584273316832	9.19223146965566	0.985528648934762	-10.6487935693902	9076	0.411965623622741	8	80692480	80784635	protein_coding	Hhip
ENSMUSG00000043629	0.475471765116589	9.64718108111126	-4.34267586923312	9.17170931599467	0.985483657536059	-10.1478611284508	4330	0.42933025404157	1	52961483	53059338	protein_coding	1700019D03Rik
ENSMUSG00000106535	2.18208027870146	14.4147130830767	-2.72376603658862	12.2326328043753	0.985430726478761	-12.5322067788858	1887	0.332803391626921	5	4123571	4125457	lncRNA	Gm43031
ENSMUSG00000104649	67.2114469349515	13.3532467293892	2.33151639891257	53.8582002055623	0.985359269551409	53.9086421466988	291	0.426116838487972	3	90034074	90034364	unprocessed_pseudogene	Gm43712
ENSMUSG00000033177	9.43401679887656	0.342421113698648	4.78402860361007	9.09159568517791	0.985314278152706	10.2734629888322	2837	0.396545646810011	16	45476678	45514021	protein_coding	Tmprss7
ENSMUSG00000103313	4.17774501411288	23.2611498677844	-2.4771260690055	19.0834048536715	0.985295752282652	-19.2435052516656	2464	0.449269480519481	3	51139338	51141801	TEC	Gm38357
ENSMUSG00000021900	1.31244756244464	11.1470951501074	-3.08633611597333	9.83464758766276	0.985152838427948	-10.3075585758356	2353	0.537186570335742	14	31362985	31390536	protein_coding	Btd
ENSMUSG00000104010	0.896296361756565	10.1500952501147	-3.50137361525218	9.25379888835816	0.985129019452164	-9.89405938226383	2297	0.372659991292991	1	194724691	194726987	TEC	Gm37366
ENSMUSG00000105485	0.354597441087639	9.36981177670196	-4.72376603658862	9.01521433561432	0.985113140134974	-10.1778217259635	2903	0.351016190148123	5	14646878	14649780	TEC	Gm42447
ENSMUSG00000113529	12.7756298042496	1.80846794830232	2.82055447963519	10.9671618559473	0.984975519386	11.3240525761379	3223	0.427551970214086	12	84360628	84363850	lncRNA	Gm47484
ENSMUSG00000008167	0.514698185738708	9.47614752751437	-4.20250205675757	8.96144934177566	0.984956993515945	-9.89790876105973	3383	0.545965119716228	8	85786684	85793753	protein_coding	Fbxw9
ENSMUSG00000045876	2.06824758907632	13.6627400340385	-2.72376603658862	11.5944924449622	0.984819372766971	-11.910128314941	3484	0.471297359357061	18	37488174	37491657	protein_coding	Pcdhb8
ENSMUSG00000117113	2.48246713378798	15.3578438569723	-2.62912916245055	12.8753767231844	0.984798200344052	-13.14106715289	3732	0.393354769560557	17	74493763	74497494	TEC	Gm49883
ENSMUSG00000051341	0.976039543120178	10.1320502798929	-3.37584273316832	9.15601073677271	0.984729389969565	-9.75852687504536	3164	0.399494310998736	17	21755801	21782863	protein_coding	Zfp52
ENSMUSG00000120254	4.93208391536065	26.5968158675719	-2.43098428736078	21.6647319522113	0.984689691676591	-21.8006948321965	1461	0.43668720054757	19	38337108	38381459	lncRNA	
ENSMUSG00000046027	1.88534133970223	12.9882335289567	-2.78430757852367	11.1028921892545	0.984684398570861	-11.4466843958429	5460	0.495421245421245	7	83281167	83302335	protein_coding	Stard5
ENSMUSG00000093553	10.1812428122104	1.02944051525581	3.30598130680543	9.15180229695458	0.984573243350536	9.73062164938552	2831	0.515365595196044	3	96150866	96153696	lncRNA	Gm20633
ENSMUSG00000035759	2.02570620822056	13.381713801787	-2.72376603658862	11.3560075935665	0.984530898504698	-11.6780910206768	3049	0.449655624795015	10	111134540	111137588	protein_coding	Bbs10
