control_mean	morphine_mean	M	D	prob	ranking	Length	GC	Chrom	GeneStart	GeneEnd	Biotype	gene	mgi_symbol
ENSMUSG00000089255	383.072442669907	1760.61146125878	-2.20038741409284	1377.53901858887	0.984214815418466	-1377.54077596257	128	0.640625	17	24938650	24938777	snoRNA	ENSMUSG00000089255	Snora78
ENSMUSG00000115568	1.55086787543747	11.8259644900252	-2.93081016239227	10.2750966145878	0.984149621057778	-10.6849079849615	1897	0.479177648919346	15	27479092	27480988	TEC	ENSMUSG00000115568	Tiaf2
ENSMUSG00000059588	41.580858013035	8.14606840402162	2.35174369416094	33.4347896090134	0.984095292423872	33.5173962980721	4882	0.353748463744367	2	84160970	84255755	protein_coding	ENSMUSG00000059588	Calcrl
ENSMUSG00000117943	1.58086854363508	11.872083691096	-2.90878385606227	10.291215147461	0.984021948768098	-10.6943972589678	5583	0.379724162636575	18	40479222	40484804	TEC	ENSMUSG00000117943	Gm50403
ENSMUSG00000023391	10.304715795814	1.07151033136019	3.26558705041123	9.23320546445376	0.983962187270801	9.79367867211459	2855	0.578283712784588	2	71373752	71377098	protein_coding	ENSMUSG00000023391	Dlx2
ENSMUSG00000109438	2.30907806271477	14.4062255523115	-2.64130354519729	12.0971474895967	0.983668812647706	-12.3821428598982	4247	0.442665410878267	8	8692766	8697012	TEC	ENSMUSG00000109438	Gm45073
ENSMUSG00000086841	4.72382202907014	25.5421361261615	-2.43485266772986	20.8183140970914	0.983663379784315	-20.9602173022778	2076	0.473025048169557	11	62493650	62495725	lncRNA	ENSMUSG00000086841	2410006H16Rik
ENSMUSG00000104860	1.73722843797159	12.1932940497343	-2.8112285466396	10.4560656117627	0.983581886833456	-10.8273872203283	2258	0.401682905225864	3	123479364	123481621	TEC	ENSMUSG00000104860	Gm42510
ENSMUSG00000031323	16.9567513527659	2.93867626900418	2.52862145624502	14.0180750837617	0.983168989215766	14.2443095839343	1388	0.462536023054755	X	101946822	101952293	protein_coding	ENSMUSG00000031323	Dmrtc1a
ENSMUSG00000030321	2.20953538092744	13.7851836096133	-2.64130354519729	11.5756482286858	0.98311466058186	-11.8731679147627	2663	0.44723995493804	6	115787690	115815373	protein_coding	ENSMUSG00000030321	Efcab12
ENSMUSG00000073647	15.8427375320672	75.7789185877943	-2.25797490564578	59.9361810557271	0.983041316926086	-59.9786983038097	619	0.483037156704362	18	4198320	4198938	processed_pseudogene	ENSMUSG00000073647	Gm10557
ENSMUSG00000078941	0.354158704671347	8.83831562595406	-4.64130354519729	8.48415692128271	0.982916361068101	-9.67070924304987	2769	0.473817262549657	13	100787487	100802867	protein_coding	ENSMUSG00000078941	Ak6
ENSMUSG00000120997	2.92611175304549	16.517214528171	-2.49691363586211	13.5911027751255	0.982541493494146	-13.8185618770181	2346	0.486359761295823	11	60769738	60772083	lncRNA	ENSMUSG00000120997	
ENSMUSG00000109640	0.277180738619265	8.64658563039386	-4.96323164008465	8.3694048917746	0.982530627767365	-9.7303960122699	3538	0.397964951950254	8	26552543	26556080	TEC	ENSMUSG00000109640	Gm45413
ENSMUSG00000018761	1.62093463344622	11.3770487455786	-2.8112285466396	9.75611411213235	0.982416537636161	-10.1530669509459	2420	0.465289256198347	11	69547523	69553468	protein_coding	ENSMUSG00000018761	Mpdu1
ENSMUSG00000102841	2.4764279122095	14.5919623828751	-2.55884138500532	12.1155344706656	0.982389373319208	-12.3828043973691	3564	0.447250280583614	1	194359310	194362873	TEC	ENSMUSG00000102841	Gm38036
ENSMUSG00000020548	4.49022643422601	23.3452533274828	-2.37826913936349	18.8550268932568	0.982305163936653	-19.00442588569	1092	0.468864468864469	11	65042736	65050717	lncRNA	ENSMUSG00000020548	1700086D15Rik
ENSMUSG00000050188	4.15976862453854	21.6271615131378	-2.37826913936349	17.4673928885993	0.98181892266319	-17.6285557668216	943	0.549310710498409	4	125990416	125992377	protein_coding	ENSMUSG00000050188	Lsm10
ENSMUSG00000085586	1.06324407651062	9.58176266677112	-3.17181826189607	8.5185185902605	0.98173742971233	-9.0898619383966	2767	0.506324539212143	11	97535010	97551193	lncRNA	ENSMUSG00000085586	Gm11613
ENSMUSG00000105663	6.06710910325342	30.1098621656826	-2.31115494350496	24.0427530624291	0.981435905794149	-24.15357969316	3556	0.401012373453318	5	52012562	52016117	TEC	ENSMUSG00000105663	Gm43606
ENSMUSG00000002741	9.20195465501974	44.083098468309	-2.26021337784178	34.8811438132892	0.98132453209464	-34.9542952759277	2984	0.526139410187668	11	5905693	5917780	protein_coding	ENSMUSG00000002741	Ykt6
ENSMUSG00000036411	0.605847685276953	8.60966789108782	-3.82893054837306	8.00382020581086	0.981090918968842	-8.87253329276429	4856	0.468080724876442	9	22322809	22355977	protein_coding	ENSMUSG00000036411	9530077C05Rik
ENSMUSG00000120525	3.6839423487414	19.1532807164622	-2.37826913936349	15.4693383677208	0.981031157471545	-15.6510892155878	1331	0.46656649135988	14	70896785	70898115	lncRNA	ENSMUSG00000120525	
ENSMUSG00000045176	11.0601366906199	1.64294414394917	2.75101387758147	9.4171925466707	0.98094694808899	9.81078961224406	1862	0.631041890440387	11	68950543	68952404	protein_coding	ENSMUSG00000045176	Borcs6
ENSMUSG00000039163	26.005670701697	5.23381008731112	2.31289276518959	20.7718606143859	0.980802977209138	20.9002312505566	1169	0.508126603934987	9	117893590	117979245	protein_coding	ENSMUSG00000039163	Cmc1
ENSMUSG00000104938	1.30697306073073	9.96617265107858	-2.93081016239227	8.65919959034785	0.980786678618966	-9.14173866140693	2251	0.373167481119502	3	55922339	55924589	TEC	ENSMUSG00000104938	Gm42840
ENSMUSG00000096995	1.3792763055344	10.0394439626036	-2.86369596653374	8.66016765706918	0.980512319017738	-9.12136275110735	2133	0.505860290670417	12	111538750	111540882	lncRNA	ENSMUSG00000096995	2810029C07Rik
ENSMUSG00000032415	13.1485870824799	2.27870539741776	2.52862145624502	10.8698816850622	0.980352049547714	11.1601189203446	1790	0.463687150837989	9	86189359	86347003	protein_coding	ENSMUSG00000032415	Ube2cbp
ENSMUSG00000045689	0.52752310555942	8.2279773965394	-3.96323164008465	7.70045429097998	0.980099421400049	-8.66049659779623	3718	0.465841850457235	18	37440508	37444225	protein_coding	ENSMUSG00000045689	Pcdhb4
ENSMUSG00000043644	12.6628250776394	2.19452080059781	2.52862145624502	10.4683042770416	0.979751718143047	10.7693695686289	1394	0.598278335724534	11	120239504	120242036	lncRNA	ENSMUSG00000043644	0610009L18Rik
ENSMUSG00000069265	9.18226079808016	42.0109637407826	-2.19384456822607	32.8287029427024	0.979637628011844	-32.9019253371248	534	0.606741573033708	13	23945836	23946369	protein_coding	ENSMUSG00000069265	H3c1
ENSMUSG00000021265	0.376310611371819	7.82594524439332	-4.37826913936349	7.4496346330215	0.979132371716513	-8.64096619726152	2606	0.557175748273216	12	108791799	108801809	protein_coding	ENSMUSG00000021265	Slc25a29
ENSMUSG00000028470	5.09436599083097	24.4997822193147	-2.26579441010508	19.4054162284837	0.979124222421427	-19.53724656418	1540	0.544155844155844	4	43654227	43656466	protein_coding	ENSMUSG00000028470	Hint2
ENSMUSG00000113140	1.39596505798571	9.79802774530254	-2.8112285466396	8.40206268731683	0.979069893787521	-8.85989070717258	2810	0.360142348754448	13	17929101	17931910	TEC	ENSMUSG00000113140	Gm48624
ENSMUSG00000107116	0.196133090646992	7.54593292354893	-5.26579441010508	7.34979983290193	0.978722190530519	-9.04146826313178	5000	0.4468	5	118782438	118787437	TEC	ENSMUSG00000107116	Gm43274
ENSMUSG00000035759	1.92981066559848	11.3711061402792	-2.55884138500532	9.44129547468072	0.978594518240839	-9.78190827363672	3049	0.449655624795015	10	111134540	111137588	protein_coding	ENSMUSG00000035759	Bbs10
ENSMUSG00000010609	10.4133450712854	1.64774807419463	2.65986598952328	8.76559699709074	0.97851845815337	9.16027170981455	4332	0.454755309325946	1	180054569	180091003	protein_coding	ENSMUSG00000010609	Psen2
ENSMUSG00000026857	1.05146403134556	8.74671049616397	-3.05634104447613	7.69524646481841	0.978472278814549	-8.2799781844187	2798	0.566833452466047	2	30697838	30713045	protein_coding	ENSMUSG00000026857	Ntmt1
ENSMUSG00000114535	1.66638139886994	10.3964723739451	-2.64130354519729	8.73009097507517	0.978222367098579	-9.12090855402907	2354	0.459218351741716	13	59751123	59753476	TEC	ENSMUSG00000114535	Gm47246
ENSMUSG00000032121	8.98662500100766	1.16806490875653	2.94365895552387	7.81856009225113	0.978070246923641	8.3543407856382	2619	0.454371897670867	9	37119519	37135996	protein_coding	ENSMUSG00000032121	Tmem218
ENSMUSG00000049946	10.5328680675321	1.72931712607877	2.6066239682463	8.80355094145332	0.977847499524624	9.18133964574885	1769	0.481062747314867	8	59364789	59367332	protein_coding	ENSMUSG00000049946	BC030500
ENSMUSG00000094832	0.490332726617481	7.6321429557183	-3.96025523360227	7.14181022910082	0.977730692961725	-8.16633791021185	3073	0.407419459811259	5	22980628	22983700	TEC	ENSMUSG00000094832	Gm21846
ENSMUSG00000108246	1.93044380558063	11.0402827940836	-2.51577266311343	9.10983898850297	0.977146660147231	-9.4508348038106	2032	0.320374015748031	6	61952082	61954113	TEC	ENSMUSG00000108246	Gm43896
ENSMUSG00000032114	2.05950042681476	11.421442523984	-2.47137854375498	9.36194209716927	0.977021704289246	-9.68264797136004	2857	0.55792789639482	9	44308149	44314265	protein_coding	ENSMUSG00000032114	Slc37a4
ENSMUSG00000032062	11.3973246207196	2.0610826990287	2.46722091158088	9.33624192169091	0.976997256403988	9.65673817843689	1979	0.448711470439616	9	50650991	50657836	protein_coding	ENSMUSG00000032062	2310030G06Rik
ENSMUSG00000104919	3.19175086488189	15.7645993828678	-2.30426855791972	12.5728485179859	0.97684513622905	-12.7822601070092	1229	0.434499593165175	5	52049328	52050556	TEC	ENSMUSG00000104919	Gm42617
ENSMUSG00000107595	1.9811423297676	11.1242254401213	-2.48930045175224	9.14308311035367	0.97676364327819	-9.47589497102666	2475	0.376969696969697	6	103541317	103543791	TEC	ENSMUSG00000107595	Gm44441
ENSMUSG00000027952	17.1745263263566	3.57170110453397	2.26558705041123	13.6028252218226	0.976606090239861	13.7902044473041	1713	0.546993578517221	3	89361848	89376320	protein_coding	ENSMUSG00000027952	Pmvk
ENSMUSG00000066838	10.5941532578498	1.83601128077863	2.52862145624502	8.75814197707115	0.976358894955586	9.11586404898178	2777	0.444364422038171	7	7205116	7212997	protein_coding	ENSMUSG00000066838	Zfp772
ENSMUSG00000071015	17.9526856427453	3.88909483350286	2.20669336135766	14.0635908092424	0.976160595441828	14.2356623323563	1311	0.418764302059497	4	34743784	34756263	protein_coding	ENSMUSG00000071015	Gm136
ENSMUSG00000034334	2.88007475252558	14.2251781509138	-2.30426855791972	11.3451033983882	0.975693369190232	-11.5767449962041	1362	0.422173274596182	13	92586133	92620523	protein_coding	ENSMUSG00000034334	Fam151b
ENSMUSG00000021256	1.50929658058478	9.41642784465825	-2.64130354519729	7.90713126407347	0.975584711922419	-8.33661857380796	2599	0.622162370142362	12	86725474	86738865	protein_coding	ENSMUSG00000021256	Vash1
ENSMUSG00000091985	0.322693469310616	7.04644092538119	-4.44865846725489	6.72374745607057	0.975446173905957	-8.06221694146803	3039	0.448831852583087	4	108491040	108494638	lncRNA	ENSMUSG00000091985	Gm17354
ENSMUSG00000003198	24.0359179714451	5.41518327184552	2.15010983299129	18.6207346995996	0.975424442452395	18.7444587290964	2448	0.399918300653595	17	56199093	56205928	protein_coding	ENSMUSG00000003198	Zfp959
ENSMUSG00000020212	0.476513825672965	7.18462081996818	-3.9143220396037	6.70810699429522	0.975359248091707	-7.76663482318048	4116	0.476433430515063	10	117977716	118004902	protein_coding	ENSMUSG00000020212	Mdm1
ENSMUSG00000107604	12.3821395610475	51.5010437042651	-2.05634104447613	39.1189041432176	0.975315785184582	-39.172914109847	396	0.308080808080808	6	47824677	47825072	processed_pseudogene	ENSMUSG00000107604	Gm44041
ENSMUSG00000040429	2.49533194207369	12.649206726601	-2.34174326333838	10.1538747845273	0.975247874392198	-10.4204095241622	3144	0.389312977099237	5	3940581	3943933	protein_coding	ENSMUSG00000040429	Mterf1a
ENSMUSG00000117634	2.07328848464051	11.2104597458586	-2.43485266772986	9.13717126121813	0.975242441528808	-9.45602486092236	2365	0.495983086680761	18	11788477	11790841	lncRNA	ENSMUSG00000117634	Gm50069
ENSMUSG00000098176	2.27708696571585	11.8388622137513	-2.37826913936349	9.56177524803549	0.975239725097112	-9.85310661635167	2584	0.557275541795666	15	75851721	75854304	protein_coding	ENSMUSG00000098176	Ccdc166
ENSMUSG00000103783	8.16087755812728	1.06073578225844	2.94365895552387	7.10014177586883	0.975052291310135	7.68616557744326	2884	0.406033287101248	1	30872629	30875512	TEC	ENSMUSG00000103783	Gm37522
ENSMUSG00000025545	19.0156736084342	4.23706647650048	2.16605137686032	14.7786071319337	0.974821394616032	14.9364991657095	1444	0.480609418282548	14	122419116	122639646	protein_coding	ENSMUSG00000025545	Clybl
ENSMUSG00000069755	1.576632561471	9.42667817641573	-2.57990300053315	7.85004561494473	0.974400347703257	-8.26311779226661	2488	0.347266881028939	12	20948575	20952660	transcribed_unprocessed_pseudogene	ENSMUSG00000069755	Zfp125
ENSMUSG00000051341	0.929834500538838	7.73492287239785	-3.05634104447613	6.80508837185901	0.974394914839866	-7.45992280985267	3164	0.399494310998736	17	21755801	21782863	protein_coding	ENSMUSG00000051341	Zfp52
ENSMUSG00000096993	13.9365057304826	2.89830601234803	2.26558705041123	11.0381997181346	0.974318854752397	11.2683067805424	2111	0.417811463761251	9	36679157	36693973	lncRNA	ENSMUSG00000096993	Gm26787
