dStr_mean	NAc_mean	M	D	prob	ranking	Length	GC	Chrom	GeneStart	GeneEnd	Biotype	mgi_symbol
ENSMUSG00000115564	21.5093157920505	2.00151704722298	3.42579582504674	19.5077987448275	0.99316039573109	19.8063194183978	966	0.303312629399586	14	87665786	87666751	TEC	Gm49199
ENSMUSG00000120920	17.232937604958	0.763611954035307	4.49618515293814	16.4693256509227	0.993116252499286	17.0720346861656	1266	0.529225908372828	3	95189522	95190787	lncRNA	
ENSMUSG00000049796	1.57409083750915	19.774078646087	-3.65101977200409	18.1999878085779	0.993111059177897	-18.5625833764578	1320	0.527272727272727	3	19747565	19749560	protein_coding	Crh
ENSMUSG00000038257	1.69238697777374	20.1577633461414	-3.57420417495326	18.4653763683677	0.993066915946093	-18.8081115455466	9208	0.351216333622937	8	56393495	56583105	protein_coding	Glra3
ENSMUSG00000049489	0.848774471205915	17.3759151501564	-4.35556388847792	16.5271406789504	0.993064319285399	-17.0914398401197	1224	0.533496732026144	11	78641332	78642555	protein_coding	Ccnq
ENSMUSG00000023964	2.1245397806872	21.7465441143061	-3.35556388847792	19.6220043336189	0.993048739321233	-19.9068546756693	3912	0.444018404907975	6	3685680	3764714	protein_coding	Calcr
ENSMUSG00000108825	2.54736400348845	23.7041128028287	-3.21806036472798	21.1567487993403	0.992947469554153	-21.4000918752565	2447	0.440130772374336	7	83282579	83285025	TEC	Gm45838
ENSMUSG00000103763	19.0900378166003	1.86988923367253	3.35179524360297	17.2201485829278	0.992293111059178	17.5433192005718	1034	0.401353965183752	1	165295069	165296102	TEC	Gm37860
ENSMUSG00000047181	1.84474688266832	18.8826162862901	-3.35556388847792	17.0378694036218	0.992261951130846	-17.3651606046281	3379	0.623557265463155	11	94900705	94916913	protein_coding	Samd14
ENSMUSG00000102316	18.7991420022521	1.84139568344514	3.35179524360297	16.957746318807	0.992194437952793	17.2858234275389	1050	0.357142857142857	1	9261292	9262341	TEC	Gm37629
ENSMUSG00000008540	15.4828606968113	0.960489551722503	4.0107583257679	14.5223711450888	0.992108748149879	15.066036174901	2013	0.463984103328366	6	138117314	138133753	protein_coding	Mgst1
ENSMUSG00000086873	1.53456418427775	17.135587600745	-3.48109477056177	15.6010234164673	0.9920074783828	-15.9846786781215	1354	0.613737075332349	5	139133331	139136448	lncRNA	Gm15672
ENSMUSG00000103391	15.0130050976306	0.931341747407224	4.0107583257679	14.0816633502234	0.991864662044611	14.6417015765498	2076	0.367052023121387	1	160431685	160433760	TEC	Gm38302
ENSMUSG00000066197	25.0983469899766	3.19383104293603	2.97423244974279	21.9045159470406	0.991703669081561	22.1055169027837	4843	0.493495767086517	7	118739970	118783826	protein_coding	Gpr139
ENSMUSG00000109131	1.96947858342377	18.3266868968474	-3.21806036472798	16.3572083134236	0.991651735867674	-16.6707581207265	1055	0.399052132701422	7	6745645	6746699	TEC	Gm44862
ENSMUSG00000021318	15.0596614279997	1.10898530314899	3.76337718424559	13.9506761248507	0.991571239386149	14.4493727258792	9589	0.487850662217124	13	15637820	15904611	protein_coding	Gli3
ENSMUSG00000074467	2.45796518790861	20.5850030069676	-3.06605727128293	18.127037819059	0.991394666458934	-18.3845099821665	1268	0.489747634069401	3	89260936	89262205	pseudogene	Gm10702
ENSMUSG00000021647	4.88128403800802	34.0665411287325	-2.80302286544914	29.1852570907245	0.991371296512685	-29.3195526677321	1277	0.523101018010963	13	100034997	100037599	protein_coding	Cartpt
ENSMUSG00000047033	0.370903231972881	13.1152602230384	-5.1440597832842	12.7443569910655	0.991366103191296	-13.7433615309255	2801	0.483041770796144	18	37606593	37609393	protein_coding	Pcdhb15
ENSMUSG00000121251	3.02005800219779	23.1847239939586	-2.94052638919907	20.1646659917608	0.991080470514918	-20.3779402787635	1376	0.471656976744186	11	6576148	6577523	lncRNA	
ENSMUSG00000038264	30.87089004551	4.39690448973029	2.81168697866607	26.4739855557797	0.991057100568669	26.6228754058165	3298	0.5767131594906	9	57847395	57870148	protein_coding	Sema7a
ENSMUSG00000085628	4.03064967121645	28.1299534570911	-2.80302286544914	24.0993037858747	0.99063384487549	-24.2617678693888	1031	0.572259941804074	11	85125601	85129130	lncRNA	Appbp2os
ENSMUSG00000106490	12.2319460685562	0.483366366904349	4.66139304817369	11.7485797016518	0.990592298304381	12.6395296651271	2548	0.397174254317111	3	123003049	123005596	TEC	Gm43283
ENSMUSG00000085222	14.290233187841	1.32975616754979	3.42579582504674	12.9604770202912	0.990589701643686	13.4055973991614	1454	0.395460797799175	2	114684574	114874453	lncRNA	Gm13974
ENSMUSG00000083305	22.0150343167274	2.92653703473875	2.91122265221699	19.0884972819886	0.990566331697437	19.3092191922736	991	0.486377396569122	2	14725945	14726935	processed_pseudogene	Gm13315
ENSMUSG00000047507	3.65809842519732	26.0972451615024	-2.83473172517647	22.4391467363051	0.990532575108411	-22.6174934554463	5112	0.568075117370892	17	25461633	25475338	protein_coding	Baiap3
ENSMUSG00000022324	1.32703171356352	14.046412067155	-3.40392691003931	12.7193803535915	0.990384565448833	-13.1669797215693	6263	0.470381606258981	15	34306823	34436419	protein_coding	Matn2
ENSMUSG00000044288	274.395983797452	49.206756159102	2.47933104722726	225.18922763835	0.990350808859806	225.202875929235	6444	0.44568590937306	4	33924593	33948831	protein_coding	Cnr1
ENSMUSG00000102296	21.1609107738864	2.81299534570912	2.91122265221699	18.3479154281772	0.990340422217029	18.5774384103494	1031	0.346265761396702	1	25323299	25324329	TEC	Gm37543
ENSMUSG00000034880	6.84612818949614	43.0012912896785	-2.65101977200409	36.1551631001824	0.990330035574251	-36.2522237198265	607	0.583196046128501	8	71917603	71918391	protein_coding	Mrpl34
ENSMUSG00000092564	0.473950708374106	11.9077480897969	-4.65101977200409	11.4337973814228	0.99031705227078	-12.3435694788422	2192	0.52235401459854	17	34126150	34128341	lncRNA	BC051226
ENSMUSG00000042489	11.9995402280478	0.538120085615752	4.47890716150631	11.461420142432	0.990311858949391	12.3054768718136	7186	0.478151962148622	4	126450728	126487696	protein_coding	Clspn
ENSMUSG00000119047	33.1563814709374	185.119034133581	-2.48109477056177	151.962652662643	0.990091142790372	-151.982905734585	94	0.436170212765957	7	59413836	59413929	snoRNA	Gm22776
ENSMUSG00000069114	25.7833276648383	3.78139321290157	2.76944869108882	22.0019344519367	0.989966503077043	22.1755488247731	7414	0.448340976530888	3	9315662	9350393	protein_coding	Zbtb10
ENSMUSG00000113588	22.0925029825846	3.08367698184593	2.84083332432559	19.0088260007386	0.989945729791488	19.2199323594792	1881	0.289739500265816	12	61799332	61801212	TEC	Gm48328
ENSMUSG00000045991	37.5012549165356	5.89543800955163	2.66926796450202	31.605816906984	0.989914569863156	31.7183330870982	16234	0.425957866206727	18	64473091	64534058	protein_coding	Onecut2
ENSMUSG00000045052	2.64183077623913	19.6665273247796	-2.89613226984062	17.0246965485405	0.989818493417465	-17.2692754536575	1573	0.567705022250477	19	60455170	60456742	protein_coding	Prlhr
ENSMUSG00000113557	25.3390232379522	3.75118023096502	2.75594442673907	21.5878430069872	0.989763963542884	21.763046555517	1804	0.421286031042129	13	20688965	20690768	TEC	Gm47657
ENSMUSG00000120670	72.4813920527469	12.5900076961133	2.52533149859766	59.8913843566337	0.989683467061359	59.9446012525885	1075	0.430697674418605	16	74888691	74889765	lncRNA	
ENSMUSG00000027895	1.62412707569991	14.3574168387431	-3.1440597832842	12.7332897630431	0.989553634026642	-13.1157073812465	3838	0.561229807191245	3	107345619	107366868	protein_coding	Kcnc4
ENSMUSG00000049086	8.45493349140215	50.1560217947545	-2.56855761181211	41.7010883033523	0.989532860741087	-41.7801179257453	983	0.579857578840285	2	25596751	25597733	protein_coding	Bmyc
ENSMUSG00000090291	85.463476855347	15.169843183874	2.49410183843765	70.293633671473	0.98946275090234	70.337866606258	2103	0.621968616262482	19	10432735	10434837	protein_coding	Lrrc10b
ENSMUSG00000001260	5.67704892216415	35.5046079642539	-2.6447931976392	29.8275590420898	0.989460154241645	-29.944585645282	7869	0.349091371203457	5	70908390	70999960	protein_coding	Gabrg1
ENSMUSG00000032288	7.87045418754575	47.0811396335405	-2.58063044411269	39.2106854459948	0.989428994313313	-39.2955150956674	924	0.557359307359307	9	56844759	56845682	protein_coding	Imp3
ENSMUSG00000002731	2.04911233285215	16.2075507640512	-2.98359511109096	14.158438431199	0.989377061099426	-14.4693890194776	2028	0.516765285996055	2	76460242	76478359	protein_coding	Prkra
ENSMUSG00000111030	21.7151805306543	3.19053707527623	2.76683274288181	18.5246434553781	0.989171924904573	18.7301302338228	909	0.416941694169417	9	44545492	44546400	TEC	Gm47234
ENSMUSG00000036198	0.51944997637802	11.0209227180764	-4.40711638459705	10.5014727416984	0.989151151619018	-11.3887490345524	3421	0.507453960830167	X	48552822	48589121	protein_coding	Arhgap36
ENSMUSG00000105302	10.7203559852875	0.453439368578189	4.56329934879668	10.2669166167093	0.988891485549583	11.2353583726194	2132	0.418855534709193	3	55238262	55240393	TEC	Gm19817
ENSMUSG00000108101	111.469952012451	20.7453376353798	2.42579582504674	90.7246143770708	0.988460439874322	90.7570390617335	233	0.377682403433476	6	48022482	48022889	lncRNA	Gm45738
ENSMUSG00000108753	37.0434342960014	6.26731107817633	2.56329934879668	30.7761232178251	0.988426683285295	30.8826855028881	617	0.434359805510535	7	34752400	34753016	TEC	Gm45094
ENSMUSG00000042770	14.2775256239714	1.82353250785796	2.96893815007327	12.4539931161135	0.988351380125159	12.8029894272846	3711	0.494475882511452	6	135114520	135175020	protein_coding	Hebp1
ENSMUSG00000062760	1.58586468135558	13.2813228580038	-3.06605727128293	11.6954581766482	0.988315026875438	-12.0906761247051	6551	0.551976797435506	15	84263404	84331298	protein_coding	Shisal1
ENSMUSG00000110393	0.564466152000021	10.5051098485053	-4.21806036472798	9.94064369650527	0.988270883643634	-10.7985383428202	3681	0.447161097527846	13	65388738	65397980	lncRNA	Gm36445
ENSMUSG00000029507	0.51944997637802	10.1994737970643	-4.29536609089543	9.68002382068624	0.987878787878788	-10.5902328125432	2180	0.53394495412844	5	110921533	110928525	protein_coding	Pus1
ENSMUSG00000097823	4.46976009175924	27.3323329779964	-2.61233930384003	22.8625728862372	0.987811274700735	-23.0113353723093	1627	0.48740012292563	1	166825864	166828410	lncRNA	Gm16701
ENSMUSG00000099583	4.15892695258623	25.5421779148816	-2.61859829431171	21.3832509622953	0.987748954844071	-21.5429914065683	1249	0.496397117694155	13	23759937	23761185	protein_coding	H3c4
ENSMUSG00000046287	0.610220236567424	10.2209628244092	-4.06605727128293	9.61074258784173	0.987691828308795	-10.435477699804	3405	0.528046989720999	X	72108393	72111797	protein_coding	Pnma3
ENSMUSG00000104860	1.38029223129678	11.987828408611	-3.11852469117707	10.6075361773142	0.987494482096025	-11.0564469881834	2258	0.401682905225864	3	123479364	123481621	TEC	Gm42510
ENSMUSG00000107624	13.7515909283812	1.82804803115417	2.91122265221699	11.9235428972271	0.9874139856145	12.2737969900433	3173	0.462023321777498	6	88715174	88718346	TEC	Gm44005
ENSMUSG00000028102	2.95561864226469	18.9083571690891	-2.67749198336528	15.9527385268244	0.987310119186726	-16.1758718413015	2812	0.515291607396871	3	96542692	96552682	protein_coding	Pex11b
ENSMUSG00000043811	10.7213617415484	0.997660200008977	3.42579582504674	9.72370154153942	0.987201059437563	10.3095319342754	1938	0.627450980392157	16	17945506	17970272	protein_coding	Rtn4r
ENSMUSG00000042064	15.2019740210075	2.19743198479034	2.7903682573426	13.0045420362172	0.987104982991872	13.3005364020902	7039	0.465691149310982	2	69869470	70259542	protein_coding	Myo3b
ENSMUSG00000072568	12.6224766450278	1.63134109653847	2.95186463671433	10.9911355484893	0.986850510243826	11.3806223678124	5926	0.449713128585893	15	60690843	60725627	protein_coding	Lratd2
ENSMUSG00000109857	18.6932287931096	2.94825475391491	2.66458268463386	15.7449740391947	0.986821946976189	15.9688511915593	3279	0.493138151875572	16	13265767	13285110	lncRNA	Gm53058
ENSMUSG00000109997	36.4035023876779	6.51437152162196	2.48237935341311	29.889130866056	0.986731063851886	29.9920381298516	742	0.392183288409704	8	103432681	103433422	TEC	9430099M06Rik
ENSMUSG00000003657	3.57624768590719	21.6308529079399	-2.59657198798171	18.0546052220327	0.986668743995222	-18.2403661095994	1743	0.505450372920252	8	110864134	110894842	protein_coding	Calb2
ENSMUSG00000079183	12.1444202766381	1.54101923561429	2.97833684807552	10.6034010410238	0.986645374048973	11.0137461391385	1882	0.396386822529224	10	97560736	97562617	lncRNA	C030005K15Rik
ENSMUSG00000067578	3.93793917309319	22.9857197218471	-2.54522510798149	19.0477805487539	0.986481784425229	-19.2170787239837	2902	0.483804272915231	2	171878153	171885386	protein_coding	Cbln4
ENSMUSG00000083465	18.8592730176708	3.05203704438421	2.62742968621639	15.8072359732866	0.986390901300927	16.024109830851	1267	0.43646408839779	11	105664344	105665610	processed_pseudogene	Gm11652
ENSMUSG00000027820	61.5671086194014	11.7260945012318	2.39243722810031	49.8410141181696	0.986375321336761	49.8984012190569	11542	0.39516548258534	3	63148958	63293451	protein_coding	Mme
ENSMUSG00000022707	11.064517434061	1.26441127366609	3.12940282226652	9.80010616039487	0.986372724676067	10.2876257114564	5352	0.410127055306428	16	70110837	70366604	protein_coding	Gbe1
ENSMUSG00000075227	2.43302096664178	15.8480776034213	-2.70348719189822	13.4150566367795	0.98627924489107	-13.6847574901699	1281	0.651834504293521	19	6111222	6112502	protein_coding	Znhit2
ENSMUSG00000070080	262.57910893834	53.1171831763021	2.30550159132903	209.461925762037	0.986222118355794	209.474613453585	91	0.604395604395604	12	109556881	109556971	miRNA	Mir431
ENSMUSG00000115632	27.2031159699212	4.82160964493117	2.49618515293814	22.3815063249901	0.986198748409545	22.5202745474676	802	0.405236907730673	14	93439536	93440337	processed_pseudogene	Gm17922
ENSMUSG00000121071	15.4292072191491	2.39290280645718	2.68883023088054	13.0363044126919	0.985991015553998	13.3107115043061	1616	0.489480198019802	1	86415504	86417119	lncRNA	
ENSMUSG00000047371	1.23580486053454	10.7329566005724	-3.11852469117707	9.49715174003785	0.985793669341227	-9.99605359243261	2522	0.586835844567803	7	126941967	126944761	protein_coding	Zfp768
ENSMUSG00000071317	9.01431629289405	0.419406825947375	4.42579582504674	8.59490946694667	0.985720962841785	9.66747833874019	4610	0.452277657266811	10	45211868	45248575	protein_coding	Bves
ENSMUSG00000069911	1.33804961716509	11.0280459054534	-3.04297365816989	9.68999628828833	0.985640466360261	-10.156560281481	5435	0.4721251149954	11	34264758	34372640	protein_coding	Insyn2b
ENSMUSG00000110499	1.08501300548934	10.0964254183676	-3.21806036472798	9.01141241287828	0.985380800290826	-9.56877558447317	1915	0.407832898172324	8	94775409	94777323	TEC	Gm45873
ENSMUSG00000104011	0.349797963890922	8.7884793982609	-4.65101977200409	8.43868143436998	0.985357430344577	-9.63552433811225	2970	0.51010101010101	1	164286042	164292059	lncRNA	Gm32391
ENSMUSG00000036502	14.576992655597	73.8506297764774	-2.34091711251351	59.2736371208805	0.985188647399444	-59.3198444912449	4490	0.48195991091314	X	37285450	37341316	protein_coding	Tmem255a
ENSMUSG00000033880	1.82455207719712	12.5637903585957	-2.78365754058221	10.7392382813985	0.985128924203474	-11.0941420654279	2847	0.544081489286969	11	118283577	118292918	protein_coding	Lgals3bp
ENSMUSG00000051323	10.5240247507779	54.0461247398785	-2.36050462974819	43.5220999891006	0.985097764275142	-43.5860662318628	10464	0.463398318042813	X	132483609	132589736	protein_coding	Pcdh19
ENSMUSG00000112627	0.84600973351469	9.44689967891237	-3.48109477056177	8.60088994539768	0.985087377632365	-9.27864907486405	2456	0.528094462540717	10	116785662	116799191	lncRNA	4933412E12Rik
ENSMUSG00000000247	17.9732293215249	3.08086917216521	2.54444032154536	14.8923601493597	0.984882241437511	15.1081622763374	4393	0.597086273617118	2	38229293	38259745	protein_coding	Lhx2
ENSMUSG00000091002	2.96366687767542	17.2989000603735	-2.54522510798149	14.3352331826981	0.984830308223624	-14.5594327242729	3856	0.487551867219917	7	137810703	137999459	protein_coding	Tcerg1l
ENSMUSG00000006342	1.51222700546731	11.2574408594899	-2.89613226984062	9.74521385402264	0.984752408402794	-10.1664534221648	3435	0.564774381368268	10	75472540	75479842	protein_coding	Susd2
ENSMUSG00000025969	2.89509360251219	16.8986383970951	-2.54522510798149	14.003544794583	0.984658928617797	-14.232970092858	11842	0.488177672690424	1	62742444	62857854	protein_coding	Nrp2
ENSMUSG00000032131	5.18353459444579	27.8276549743437	-2.42451124219541	22.6441203798979	0.984495338994054	-22.7735469908145	5211	0.552868931107273	9	44184485	44199912	protein_coding	Abcg4
ENSMUSG00000033970	8.34342249513297	0.267718840711354	4.96184872528695	8.07570365442161	0.984336942691698	9.47823466087807	3611	0.445859872611465	5	151566221	151574707	protein_coding	Rfc3
ENSMUSG00000019577	9.76465350069761	1.10137594281823	3.14826184951784	8.66327755787938	0.984318766066838	9.21758811826532	3511	0.402449444602677	6	5483351	5496309	protein_coding	Pdk4
ENSMUSG00000048905	1.117577401846	9.77548160262669	-3.12879302663089	8.65790420078069	0.98423047960323	-9.20590304931516	4648	0.49763339070568	17	29115366	29134298	protein_coding	Bnip5
ENSMUSG00000103358	8.30098302755287	0.297090575847787	4.80430744830047	8.00389245170508	0.984048713354626	9.33507709857058	3254	0.419176398279041	17	52149889	52153142	TEC	Gm37593
ENSMUSG00000085584	1.01257305336846	9.42234633341812	-3.21806036472798	8.40977328004966	0.983983796837267	-9.00445440506366	4104	0.499756335282651	X	141882590	141887293	protein_coding	Rtl9
ENSMUSG00000080848	50.6243621046375	10.240812858143	2.30550159132903	40.3835492464945	0.983690374178806	40.4493063887586	472	0.508474576271186	9	115869661	115870132	processed_pseudogene	Gm9385
ENSMUSG00000049493	21.632621124226	3.97627859664246	2.44371773304401	17.6563425275836	0.983648827607696	17.8246511273054	3890	0.459897172236504	9	95634695	95727364	protein_coding	Pls1
ENSMUSG00000102427	31.3236166660112	6.07244179528077	2.36690213599318	25.2511748707305	0.983604684375893	25.3618622753452	796	0.350502512562814	1	177057457	177058252	TEC	Gm37463
ENSMUSG00000086822	0.855766023687018	8.91878634156296	-3.38155909701086	8.06302031787594	0.983493027966036	-8.74341115200796	6070	0.465733113673806	2	131661926	131689603	lncRNA	5330413P13Rik
ENSMUSG00000110160	2.11732327327997	13.1349556224008	-2.63309786400682	11.0176323491208	0.983472254680481	-11.3279047904646	1472	0.533288043478261	8	12440168	12441639	TEC	Gm45560
ENSMUSG00000036357	5.76099788958987	29.8418422451114	-2.37294596670615	24.0808443555215	0.983428111448677	-24.1974779147696	5410	0.473197781885397	X	56542028	56549117	protein_coding	Gpr101
ENSMUSG00000031885	1.19413787673108	9.72288669060473	-3.02541528678558	8.52874881387365	0.98329827841396	-9.04945821514565	3480	0.464655172413793	8	105897306	105944621	protein_coding	Cbfb
ENSMUSG00000039115	9.18543710667152	1.00557299056944	3.19133057140972	8.17986411610208	0.98325673184285	8.78036262200535	7691	0.517748017162918	9	118435758	118730071	protein_coding	Itga9
ENSMUSG00000019761	24.0804624811003	4.57300252511211	2.39664947938723	19.5074599559881	0.983241151878684	19.6541324576163	2114	0.435666982024598	11	99276080	99280190	protein_coding	Krt10
ENSMUSG00000059864	11.0447835508948	1.60586832858588	2.78193963527202	9.43891522230889	0.983225571914518	9.84034088374137	3010	0.441528239202658	11	49169131	49173596	protein_coding	Or2y1g
ENSMUSG00000114503	19.6018859010574	3.6480480521083	2.42579582504674	15.9538378489491	0.982991872452027	16.1372063101199	1855	0.495956873315364	14	28137954	28139808	TEC	Gm20242
ENSMUSG00000033287	73.5938573380902	15.5985997977791	2.23816882187097	57.9952575403111	0.982947729220223	58.0384294829056	2541	0.624950806768989	15	78312764	78323503	protein_coding	Kctd17
ENSMUSG00000032698	39.81010899296	8.03379003165124	2.30898216006399	31.7763189613087	0.982885409363559	31.8600980121895	2166	0.548014773776547	2	103788331	103812223	protein_coding	Lmo2
ENSMUSG00000053111	0.903784212923914	8.83052953892244	-3.28844969261938	7.92674532599852	0.982859442756615	-8.58179426717559	2299	0.508046976946498	7	133378590	133483261	protein_coding	Fank1
ENSMUSG00000106729	11.4374306725436	1.77382152992422	2.68883023088054	9.66360914261934	0.982534860169822	10.0307103273803	1635	0.426299694189602	5	131070174	131071808	TEC	Gm43165
ENSMUSG00000020182	0.232884992772033	7.80147465077632	-5.06605727128293	7.56858965800429	0.982469943652463	-9.10760592511381	4461	0.426810132257341	11	11764101	11848144	protein_coding	Ddc
ENSMUSG00000023036	1.48520364940106	10.3652544725736	-2.80302286544914	8.88005082317255	0.982368673885383	-9.31194071106331	5596	0.536097212294496	18	37948132	37974926	protein_coding	Pcdhgc4
ENSMUSG00000069227	6.45131065418884	32.0169074674454	-2.31116976911946	25.5655968132566	0.982142764404975	-25.6698509173639	4348	0.567157313707452	13	54884484	54897687	protein_coding	Gprin1
ENSMUSG00000026430	1.29959964067556	9.67458327554365	-2.89613226984062	8.37498363486809	0.981994754745397	-8.86159878400735	3997	0.528146109582187	1	131104147	131172995	protein_coding	Rassf5
ENSMUSG00000102397	49.0994607102747	10.3838102449914	2.24137125390932	38.7156504652833	0.981953208174288	38.780476222551	931	0.383458646616541	3	25749359	25754467	lncRNA	Gm37573
ENSMUSG00000042589	2.67917067760931	14.862484997059	-2.47181695697376	12.1833143194496	0.981841551764431	-12.4315335689242	10082	0.532334854195596	5	121994429	122188165	protein_coding	Cux2
ENSMUSG00000117521	41.0414486053388	8.55011262212882	2.26306632500864	32.49133598321	0.981825971800265	32.570053471943	1696	0.441037735849057	18	4590763	4616064	lncRNA	Gm50024
ENSMUSG00000028780	1.60054614570258	10.5609458315236	-2.72210287006557	8.96039968582102	0.981714315390408	-9.36475341719581	7140	0.408823529411765	5	17779279	17935266	protein_coding	Sema3c
ENSMUSG00000071103	2.07365260031146	12.2208396156788	-2.55909728256305	10.1471870153674	0.981514372516943	-10.4649120028055	3006	0.392880904856953	8	46406643	46428477	protein_coding	1700029J07Rik
ENSMUSG00000065304	38.4777760280015	171.863597121546	-2.15916667567441	133.385821093545	0.981485809249305	-133.403295572233	135	0.437037037037037	5	129866603	129866737	snoRNA	Gm23245
ENSMUSG00000021900	1.76608576754108	11.0929807959349	-2.65101977200409	9.32689502839384	0.981470229285139	-9.69633315755159	2353	0.537186570335742	14	31362985	31390536	protein_coding	Btd
ENSMUSG00000036469	5.23375291060977	25.9743471720221	-2.31116976911946	20.7405942614124	0.981301446340007	-20.8689663380394	7146	0.428491463755947	8	66070552	66924289	protein_coding	Marchf1
ENSMUSG00000050549	34.8593361631166	7.25583067317787	2.26433240235263	27.6035054899387	0.981296253018618	27.6962220629713	2265	0.45916114790287	3	127662707	127689973	protein_coding	Fam241a
ENSMUSG00000063320	4.33959880015054	21.8060015144819	-2.32909167711672	17.4664027143314	0.98078990418322	-17.6210071170639	1197	0.473684210526316	10	82455685	82459062	protein_coding	1190007I07Rik
ENSMUSG00000107173	1.75985311025868	10.9173657121253	-2.63309786400682	9.15751260186666	0.980753550933499	-9.52854875701353	1771	0.369282891022021	5	54075786	54077556	TEC	Gm43266
