CeA_Ctrl	CeA_Mor	dStr_Ctrl	dStr_Mor	NAc_Ctrl	NAc_Mor	ensembl_gene_id	mgi_symbol	SYMBOL	GENENAME
Paqr8	102	137	156	160	139	113	ENSMUSG00000025931	Paqr8	Paqr8	progestin and adipoQ receptor family member VIII
Tmem14a	30	32	35	23	56	36	ENSMUSG00000025933	Tmem14a	Tmem14a	transmembrane protein 14A
Kcnq5	437	525	562	565	755	552	ENSMUSG00000028033	Kcnq5	Kcnq5	potassium voltage-gated channel, subfamily Q, member 5
Rims1	391	334	491	531	476	397	ENSMUSG00000041670	Rims1	Rims1	regulating synaptic membrane exocytosis 1
Ogfrl1	407	298	356	375	424	309	ENSMUSG00000026158	Ogfrl1	Ogfrl1	opioid growth factor receptor-like 1
B3gat2	24	29	28	30	41	37	ENSMUSG00000026156	B3gat2	B3gat2	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)
Smap1	223	171	163	175	152	161	ENSMUSG00000026155	Smap1	Smap1	small ArfGAP 1
Sdhaf4	36	18	12	14	26	30	ENSMUSG00000026154	Sdhaf4	Sdhaf4	succinate dehydrogenase complex assembly factor 4
Fam135a	157	171	328	236	191	148	ENSMUSG00000026153	Fam135a	Fam135a	family with sequence similarity 135, member A
Col19a1	3	6	51	21	6	1	ENSMUSG00000026141	Col19a1	Col19a1	collagen, type XIX, alpha 1
Gm10925	0	5	21	27	16	11	ENSMUSG00000100862	Gm10925	Gm10925	ATP synthase F0 subunit 6 pseudogene
Lmbrd1	503	374	533	415	672	498	ENSMUSG00000073725	Lmbrd1	Lmbrd1	LMBR1 domain containing 1
Adgrb3	1394	1330	1538	1324	1477	1115	ENSMUSG00000033569	Adgrb3	Adgrb3	adhesion G protein-coupled receptor B3
Gm20172	30	2	7	15	7	7	ENSMUSG00000104257	Gm20172	Gm20172	predicted gene, 20172
Phf3	677	583	596	515	620	565	ENSMUSG00000048874	Phf3	Phf3	PHD finger protein 3
Ptp4a1	15	15	15	14	23	14	ENSMUSG00000026064	Ptp4a1	Ptp4a1	protein tyrosine phosphatase 4a1
Khdrbs2	113	106	97	82	163	154	ENSMUSG00000026058	Khdrbs2	Khdrbs2	KH domain containing, RNA binding, signal transduction associated 2
Prim2	14	27	28	30	41	25	ENSMUSG00000026134	Prim2	Prim2	DNA primase, p58 subunit
Rab23	105	78	91	85	124	83	ENSMUSG00000004768	Rab23	Rab23	RAB23, member RAS oncogene family
Bag2	9	18	7	9	5	7	ENSMUSG00000042215	Bag2	Bag2	BCL2-associated athanogene 2
Zfp451	462	505	567	496	648	471	ENSMUSG00000042197	Zfp451	Zfp451	zinc finger protein 451
Bend6	154	161	112	137	93	98	ENSMUSG00000042182	Bend6	Bend6	BEN domain containing 6
Dst	2157	2080	2600	2185	2174	1707	ENSMUSG00000026131	Dst	Dst	dystonin
Ccdc115	24	45	46	28	28	18	ENSMUSG00000042111	Ccdc115	Ccdc115	coiled-coil domain containing 115
Imp4	99	69	59	76	82	80	ENSMUSG00000026127	Imp4	Imp4	IMP4, U3 small nucleolar ribonucleoprotein
Amer3	125	92	89	40	67	67	ENSMUSG00000045174	Amer3	Amer3	APC membrane recruitment 3
Arhgef4	122	148	195	146	164	192	ENSMUSG00000037509	Arhgef4	Arhgef4	Rho guanine nucleotide exchange factor (GEF) 4
Fam168b	357	388	291	238	303	269	ENSMUSG00000037503	Fam168b	Fam168b	family with sequence similarity 168, member B
Plekhb2	572	596	438	409	440	452	ENSMUSG00000026123	Plekhb2	Plekhb2	pleckstrin homology domain containing, family B (evectins) member 2
Hs6st1	79	77	91	67	72	98	ENSMUSG00000045216	Hs6st1	Hs6st1	heparan sulfate 6-O-sulfotransferase 1
Uggt1	382	397	326	297	308	289	ENSMUSG00000037470	Uggt1	Uggt1	UDP-glucose glycoprotein glucosyltransferase 1
Kansl3	137	103	113	86	146	116	ENSMUSG00000010453	Kansl3	Kansl3	KAT8 regulatory NSL complex subunit 3
Lman2l	115	148	175	148	181	179	ENSMUSG00000001143	Lman2l	Lman2l	lectin, mannose-binding 2-like
Cnnm4	49	46	34	30	63	77	ENSMUSG00000037408	Cnnm4	Cnnm4	cyclin M4
Cnnm3	80	47	71	26	93	68	ENSMUSG00000001138	Cnnm3	Cnnm3	cyclin M3
Ankrd39	28	17	10	31	22	23	ENSMUSG00000079610	Ankrd39	Ankrd39	ankyrin repeat domain 39
Sema4c	31	21	13	20	17	9	ENSMUSG00000026121	Sema4c	Sema4c	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C
Cox5b	119	116	113	79	125	115	ENSMUSG00000061518	Cox5b	Cox5b	cytochrome c oxidase subunit 5B
Actr1b	190	206	106	78	110	167	ENSMUSG00000037351	Actr1b	Actr1b	ARP1 actin-related protein 1B, centractin beta
Tmem131	530	443	348	356	548	425	ENSMUSG00000026116	Tmem131	Tmem131	transmembrane protein 131
Inpp4a	629	708	694	591	688	529	ENSMUSG00000026113	Inpp4a	Inpp4a	inositol polyphosphate-4-phosphatase, type I
Coa5	132	148	148	136	193	213	ENSMUSG00000026112	Coa5	Coa5	cytochrome C oxidase assembly factor 5
Unc50	87	69	78	56	87	62	ENSMUSG00000026111	Unc50	Unc50	unc-50 homolog
Mgat4a	349	380	319	237	311	311	ENSMUSG00000026110	Mgat4a	Mgat4a	mannoside acetylglucosaminyltransferase 4, isoenzyme A
4930594C11Rik	4	1	7	15	12	0	ENSMUSG00000103948	4930594C11Rik	4930594C11Rik	G1 to S phase transition pseudogene
Cracdl	407	388	504	478	354	372	ENSMUSG00000026090	Cracdl	Cracdl	capping protein inhibiting regulator of actin like
Tsga10	108	130	134	126	171	128	ENSMUSG00000060771	Tsga10	Tsga10	testis specific 10
Lipt1	27	12	15	8	24	22	ENSMUSG00000037216	Lipt1	Lipt1	lipoyltransferase 1
Mitd1	28	10	19	26	28	8	ENSMUSG00000026088	Mitd1	Mitd1	MIT, microtubule interacting and transport, domain containing 1
Mrpl30	119	90	68	86	77	57	ENSMUSG00000026087	Mrpl30	Mrpl30	mitochondrial ribosomal protein L30
Txndc9	147	134	172	170	219	152	ENSMUSG00000058407	Txndc9	Txndc9	thioredoxin domain containing 9
Eif5b	473	455	326	341	375	370	ENSMUSG00000026083	Eif5b	Eif5b	eukaryotic translation initiation factor 5B
Rev1	145	166	253	209	235	171	ENSMUSG00000026082	Rev1	Rev1	REV1, DNA directed polymerase
Aff3	137	208	403	344	196	132	ENSMUSG00000037138	Aff3	Aff3	AF4/FMR2 family, member 3
Lonrf2	952	1021	522	443	811	777	ENSMUSG00000048814	Lonrf2	Lonrf2	LON peptidase N-terminal domain and ring finger 2
Chst10	216	237	189	186	213	253	ENSMUSG00000026080	Chst10	Chst10	carbohydrate sulfotransferase 10
Pdcl3	52	56	57	25	65	35	ENSMUSG00000026078	Pdcl3	Pdcl3	phosducin-like 3
Npas2	200	219	389	392	307	251	ENSMUSG00000026077	Npas2	Npas2	neuronal PAS domain protein 2
Gm3617	7	7	17	17	12	5	ENSMUSG00000092563	Gm3617	Gm3617	ribosomal protein L17 pseudogene
Rpl31	147	123	152	121	90	117	ENSMUSG00000073702	Rpl31	Rpl31	ribosomal protein L31
Tbc1d8	83	128	372	336	135	138	ENSMUSG00000003134	Tbc1d8	Tbc1d8	TBC1 domain family, member 8
Cnot11	119	86	87	77	95	61	ENSMUSG00000003135	Cnot11	Cnot11	CCR4-NOT transcription complex, subunit 11
Snord89	44	51	31	10	27	25	ENSMUSG00000077704	Snord89	Snord89	small nucleolar RNA, C/D box 89
Rnf149	49	38	88	61	58	71	ENSMUSG00000048234	Rnf149	Rnf149	ring finger protein 149
Gm23722	29	1	9	21	1	4	ENSMUSG00000064936	Gm23722	Gm23722	predicted gene, 23722
Creg2	248	311	185	172	283	238	ENSMUSG00000050967	Creg2	Creg2	cellular repressor of E1A-stimulated genes 2
Map4k4	181	197	211	197	302	205	ENSMUSG00000026074	Map4k4	Map4k4	mitogen-activated protein kinase kinase kinase kinase 4
Gm16894	7	10	11	16	21	30	ENSMUSG00000097899	Gm16894	Gm16894	predicted gene, 16894
Slc9a2	18	15	29	18	24	4	ENSMUSG00000026062	Slc9a2	Slc9a2	solute carrier family 9 (sodium/hydrogen exchanger), member 2
Mfsd9	5	13	10	6	11	12	ENSMUSG00000041945	Mfsd9	Mfsd9	major facilitator superfamily domain containing 9
Pantr1	29	25	105	77	43	41	ENSMUSG00000060424	Pantr1	Pantr1	POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1
Pou3f3	138	146	222	257	246	226	ENSMUSG00000045515	Pou3f3	Pou3f3	POU domain, class 3, transcription factor 3
Gm20646	13	1	5	8	8	13	ENSMUSG00000093436	Gm20646	Gm20646	predicted gene 20646
Mrps9	110	105	106	87	89	74	ENSMUSG00000060679	Mrps9	Mrps9	mitochondrial ribosomal protein S9
Gpr45	108	46	79	36	41	65	ENSMUSG00000041907	Gpr45	Gpr45	G protein-coupled receptor 45
Tgfbrap1	84	99	110	151	119	92	ENSMUSG00000070939	Tgfbrap1	Tgfbrap1	transforming growth factor, beta receptor associated protein 1
AI597479	64	77	132	57	82	96	ENSMUSG00000010290	AI597479	AI597479	expressed sequence AI597479
Fhl2	8	11	19	12	18	9	ENSMUSG00000008136	Fhl2	Fhl2	four and a half LIM domains 2
Nck2	16	35	33	46	27	31	ENSMUSG00000066877	Nck2	Nck2	non-catalytic region of tyrosine kinase adaptor protein 2
Uxs1	143	145	163	191	183	158	ENSMUSG00000057363	Uxs1	Uxs1	UDP-glucuronate decarboxylase 1
Tpp2	430	368	441	313	371	310	ENSMUSG00000041763	Tpp2	Tpp2	tripeptidyl peptidase II
Poglut2	20	13	38	19	29	16	ENSMUSG00000026047	Poglut2	Poglut2	protein O-glucosyltransferase 2
Bivm	71	97	119	67	96	80	ENSMUSG00000041684	Bivm	Bivm	basic, immunoglobulin-like variable motif containing
Ercc5	108	110	128	110	108	90	ENSMUSG00000026048	Ercc5	Ercc5	excision repair cross-complementing rodent repair deficiency, complementation group 5
Gulp1	41	34	42	32	76	78	ENSMUSG00000056870	Gulp1	Gulp1	GULP, engulfment adaptor PTB domain containing 1
Wdr75	183	137	134	131	173	141	ENSMUSG00000025995	Wdr75	Wdr75	WD repeat domain 75
Dnah7b	21	2	12	11	28	5	ENSMUSG00000041144	Dnah7b	Dnah7b	dynein, axonemal, heavy chain 7B
Slc39a10	1009	755	712	480	851	501	ENSMUSG00000025986	Slc39a10	Slc39a10	solute carrier family 39 (zinc transporter), member 10
Tmeff2	301	282	163	198	316	281	ENSMUSG00000026109	Tmeff2	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2
Nabp1	98	82	55	68	123	82	ENSMUSG00000026107	Nabp1	Nabp1	nucleic acid binding protein 1
Myo1b	202	73	409	395	138	155	ENSMUSG00000018417	Myo1b	Myo1b	myosin IB
Stat1	12	14	11	3	3	12	ENSMUSG00000026104	Stat1	Stat1	signal transducer and activator of transcription 1
Gls	942	878	1369	1049	1310	791	ENSMUSG00000026103	Gls	Gls	glutaminase
Nab1	73	79	71	47	91	44	ENSMUSG00000002881	Nab1	Nab1	Ngfi-A binding protein 1
Nemp2	19	19	32	16	30	16	ENSMUSG00000043015	Nemp2	Nemp2	nuclear envelope integral membrane protein 2
Mfsd6	294	298	247	140	282	217	ENSMUSG00000041439	Mfsd6	Mfsd6	major facilitator superfamily domain containing 6
Inpp1	90	97	85	91	135	137	ENSMUSG00000026102	Inpp1	Inpp1	inositol polyphosphate-1-phosphatase
Hibch	63	22	34	32	55	51	ENSMUSG00000041426	Hibch	Hibch	3-hydroxyisobutyryl-Coenzyme A hydrolase
1700019D03Rik	2	0	23	10	43	17	ENSMUSG00000043629	1700019D03Rik	1700019D03Rik	RIKEN cDNA 1700019D03 gene
Pms1	35	37	61	47	47	36	ENSMUSG00000026098	Pms1	Pms1	PMS1 homolog 1, mismatch repair system component
Ormdl1	21	12	28	17	53	21	ENSMUSG00000026097	Ormdl1	Ormdl1	ORM1-like 1 (S. cerevisiae)
Osgepl1	33	73	58	71	106	50	ENSMUSG00000026096	Osgepl1	Osgepl1	O-sialoglycoprotein endopeptidase-like 1
Asnsd1	25	19	8	13	5	6	ENSMUSG00000026095	Asnsd1	Asnsd1	asparagine synthetase domain containing 1
Stk17b	11	7	21	6	10	7	ENSMUSG00000026094	Stk17b	Stk17b	serine/threonine kinase 17b (apoptosis-inducing)
Hecw2	181	241	433	408	361	222	ENSMUSG00000042807	Hecw2	Hecw2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2
Gtf3c3	194	209	231	181	232	276	ENSMUSG00000041303	Gtf3c3	Gtf3c3	general transcription factor IIIC, polypeptide 3
Pgap1	1280	1101	433	454	850	710	ENSMUSG00000073678	Pgap1	Pgap1	post-GPI attachment to proteins 1
Ankrd44	26	34	20	20	56	28	ENSMUSG00000052331	Ankrd44	Ankrd44	ankyrin repeat domain 44
Sf3b1	1427	1206	1499	1517	1605	1207	ENSMUSG00000025982	Sf3b1	Sf3b1	splicing factor 3b, subunit 1
Coq10b	99	48	88	69	65	74	ENSMUSG00000025981	Coq10b	Coq10b	coenzyme Q10B
Hspd1	435	296	227	208	314	295	ENSMUSG00000025980	Hspd1	Hspd1	heat shock protein 1 (chaperonin)
Hspe1	104	118	73	67	86	87	ENSMUSG00000073676	Hspe1	Hspe1	heat shock protein 1 (chaperonin 10)
Mob4	244	263	232	187	266	246	ENSMUSG00000025979	Mob4	Mob4	MOB family member 4, phocein
Rftn2	21	24	39	33	38	8	ENSMUSG00000025978	Rftn2	Rftn2	raftlin family member 2
Mars2	153	138	86	112	132	105	ENSMUSG00000046994	Mars2	Mars2	methionine-tRNA synthetase 2 (mitochondrial)
Plcl1	159	103	99	62	143	145	ENSMUSG00000038349	Plcl1	Plcl1	phospholipase C-like 1
Satb2	12	0	14	4	0	0	ENSMUSG00000038331	Satb2	Satb2	special AT-rich sequence binding protein 2
1700066M21Rik	93	95	72	82	117	77	ENSMUSG00000038323	1700066M21Rik	1700066M21Rik	RIKEN cDNA 1700066M21 gene
Tyw5	30	18	53	47	33	21	ENSMUSG00000048495	Tyw5	Tyw5	tRNA-yW synthesizing protein 5
Maip1	114	132	121	107	166	114	ENSMUSG00000025971	Maip1	Maip1	matrix AAA peptidase interacting protein 1
Spats2l	149	158	81	94	94	96	ENSMUSG00000038305	Spats2l	Spats2l	spermatogenesis associated, serine-rich 2-like
Kctd18	58	70	118	85	96	92	ENSMUSG00000054770	Kctd18	Kctd18	potassium channel tetramerisation domain containing 18
Bzw1	359	270	373	324	359	267	ENSMUSG00000051223	Bzw1	Bzw1	basic leucine zipper and W2 domains 1
Clk1	429	548	797	822	744	623	ENSMUSG00000026034	Clk1	Clk1	CDC-like kinase 1
Ppil3	50	43	74	44	49	82	ENSMUSG00000026035	Ppil3	Ppil3	peptidylprolyl isomerase (cyclophilin)-like 3
Nif3l1	19	39	26	20	32	42	ENSMUSG00000026036	Nif3l1	Nif3l1	Ngg1 interacting factor 3-like 1 (S. pombe)
Orc2	119	100	106	84	78	121	ENSMUSG00000026037	Orc2	Orc2	origin recognition complex, subunit 2
Hycc2	905	793	721	597	936	693	ENSMUSG00000038174	Hycc2	Fam126b	family with sequence similarity 126, member B
Ndufb3	49	73	46	48	50	57	ENSMUSG00000026032	Ndufb3	Ndufb3	NADH:ubiquinone oxidoreductase subunit B3
Cflar	25	8	20	6	6	33	ENSMUSG00000026031	Cflar	Cflar	CASP8 and FADD-like apoptosis regulator
Trak2	188	220	323	215	211	199	ENSMUSG00000026028	Trak2	Trak2	trafficking protein, kinesin binding 2
Stradb	81	108	77	87	110	100	ENSMUSG00000026027	Stradb	Stradb	STE20-related kinase adaptor beta
Tmem237	77	89	57	35	81	47	ENSMUSG00000038079	Tmem237	Tmem237	transmembrane protein 237
Als2	86	100	70	74	112	80	ENSMUSG00000026024	Als2	Als2	alsin Rho guanine nucleotide exchange factor
Fzd7	0	13	14	1	11	10	ENSMUSG00000041075	Fzd7	Fzd7	frizzled class receptor 7
Sumo1	161	156	105	95	154	162	ENSMUSG00000026021	Sumo1	Sumo1	small ubiquitin-like modifier 1
Nop58	380	297	183	203	328	195	ENSMUSG00000026020	Nop58	Nop58	NOP58 ribonucleoprotein
Bmpr2	2333	2253	1583	1438	2112	1656	ENSMUSG00000067336	Bmpr2	Bmpr2	bone morphogenetic protein receptor, type II (serine/threonine kinase)
Fam117b	361	361	230	202	358	338	ENSMUSG00000041040	Fam117b	Fam117b	family with sequence similarity 117, member B
Ica1l	104	111	135	110	153	103	ENSMUSG00000026018	Ica1l	Ica1l	islet cell autoantigen 1-like
Wdr12	112	211	150	106	208	100	ENSMUSG00000026019	Wdr12	Wdr12	WD repeat domain 12
Carf	186	127	255	163	173	175	ENSMUSG00000026017	Carf	Carf	calcium response factor
Nbeal1	266	294	525	451	539	333	ENSMUSG00000073664	Nbeal1	Nbeal1	neurobeachin like 1
Cyp20a1	12	3	8	4	14	3	ENSMUSG00000049439	Cyp20a1	Cyp20a1	cytochrome P450, family 20, subfamily a, polypeptide 1
Abi2	1666	1665	1632	1395	1829	1220	ENSMUSG00000026782	Abi2	Abi2	abl interactor 2
Raph1	249	300	258	314	315	240	ENSMUSG00000026014	Raph1	Raph1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
Pard3b	25	38	18	4	6	12	ENSMUSG00000052062	Pard3b	Pard3b	par-3 family cell polarity regulator beta
Nrp2	163	130	33	30	207	167	ENSMUSG00000025969	Nrp2	Nrp2	neuropilin 2
Ino80d	320	327	448	339	307	349	ENSMUSG00000040865	Ino80d	Ino80d	INO80 complex subunit D
Ino80dos	18	34	38	33	22	32	ENSMUSG00000084799	Ino80dos	Ino80dos	INO80 complex subunit D, opposite strand
Ndufs1	338	306	316	352	369	298	ENSMUSG00000025968	Ndufs1	Ndufs1	NADH:ubiquinone oxidoreductase core subunit S1
Eef1b2	254	243	156	86	100	168	ENSMUSG00000025967	Eef1b2	Eef1b2	eukaryotic translation elongation factor 1 beta 2
Snora41	22	15	3	2	9	0	ENSMUSG00000064602	Snora41	Snora41	small nucleolar RNA, H/ACA box 41
Gpr1	1	11	4	4	11	8	ENSMUSG00000046856	Gpr1	Gpr1	G protein-coupled receptor 1
Zdbf2	2462	2338	644	761	1664	1364	ENSMUSG00000027520	Zdbf2	Zdbf2	zinc finger, DBF-type containing 2
Adam23	1105	1445	1814	1401	1258	1114	ENSMUSG00000025964	Adam23	Adam23	a disintegrin and metallopeptidase domain 23
Fastkd2	68	97	79	55	101	76	ENSMUSG00000025962	Fastkd2	Fastkd2	FAST kinase domains 2
Klf7	194	154	202	151	198	184	ENSMUSG00000025959	Klf7	Klf7	Kruppel-like factor 7 (ubiquitous)
Creb1	399	329	286	199	296	322	ENSMUSG00000025958	Creb1	Creb1	cAMP responsive element binding protein 1
Mettl21a	47	48	35	33	45	14	ENSMUSG00000025956	Mettl21a	Mettl21a	methyltransferase like 21A
Ccnyl1	38	56	97	67	65	61	ENSMUSG00000070871	Ccnyl1	Ccnyl1	cyclin Y-like 1
Fzd5	23	16	28	9	24	8	ENSMUSG00000045005	Fzd5	Fzd5	frizzled class receptor 5
Plekhm3	199	188	233	191	266	219	ENSMUSG00000051344	Plekhm3	Plekhm3	pleckstrin homology domain containing, family M, member 3
Rpl10a-ps1	20	13	21	18	10	4	ENSMUSG00000084416	Rpl10a-ps1	Rpl10a-ps1	ribosomal protein L10A, pseudogene 1
Idh1	56	56	30	37	41	24	ENSMUSG00000025950	Idh1	Idh1	isocitrate dehydrogenase 1 (NADP+), soluble
Pikfyve	416	351	451	380	463	388	ENSMUSG00000025949	Pikfyve	Pikfyve	phosphoinositide kinase, FYVE type zinc finger containing
Pth2r	19	9	7	10	11	9	ENSMUSG00000025946	Pth2r	Pth2r	parathyroid hormone 2 receptor
Map2	4099	3656	2906	2764	3511	2871	ENSMUSG00000015222	Map2	Map2	microtubule-associated protein 2
Gm25411	0	8	9	35	4	12	ENSMUSG00000065694	Gm25411	Gm25411	predicted gene, 25411
Unc80	1155	1072	1259	1003	1134	962	ENSMUSG00000055567	Unc80	Unc80	unc-80, NALCN activator
Rpe	65	93	107	115	100	99	ENSMUSG00000026005	Rpe	Rpe	ribulose-5-phosphate-3-epimerase
Kansl1l	102	76	91	110	101	103	ENSMUSG00000026004	Kansl1l	Kansl1l	KAT8 regulatory NSL complex subunit 1-like
Acadl	40	19	42	28	22	29	ENSMUSG00000026003	Acadl	Acadl	acyl-Coenzyme A dehydrogenase, long-chain
Lancl1	317	324	285	279	293	308	ENSMUSG00000026000	Lancl1	Lancl1	LanC (bacterial lantibiotic synthetase component C)-like 1
Erbb4	1513	1299	786	602	1402	1289	ENSMUSG00000062209	Erbb4	Erbb4	erb-b2 receptor tyrosine kinase 4
Ikzf2	54	47	25	17	44	43	ENSMUSG00000025997	Ikzf2	Ikzf2	IKAROS family zinc finger 2
Vwc2l	253	172	113	89	208	160	ENSMUSG00000045648	Vwc2l	Vwc2l	von Willebrand factor C domain-containing protein 2-like
Bard1	16	33	28	5	18	12	ENSMUSG00000026196	Bard1	Bard1	BRCA1 associated RING domain 1
Atic	88	100	50	43	79	67	ENSMUSG00000026192	Atic	Atic	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
Fn1	1	13	7	12	4	4	ENSMUSG00000026193	Fn1	Fn1	fibronectin 1
Gm25360	445	549	199	180	335	222	ENSMUSG00000118839	Gm25360	Gm25360	predicted gene, 25360
Gm25939	1710	1765	800	568	1221	738	ENSMUSG00000118790	Gm25939	Gm25939	predicted gene, 25939
Tmem169	37	41	24	15	40	48	ENSMUSG00000026188	Tmem169	Tmem169	transmembrane protein 169
Xrcc5	68	49	53	44	54	55	ENSMUSG00000026187	Xrcc5	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5
Marchf4	152	96	136	106	128	103	ENSMUSG00000039372	Marchf4	Marchf4	membrane associated ring-CH-type finger 4
Smarcal1	158	168	138	133	164	172	ENSMUSG00000039354	Smarcal1	Smarcal1	SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1
Rpl37a	108	125	91	75	120	128	ENSMUSG00000046330	Rpl37a	Rpl37a	ribosomal protein L37a
